City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Baie-Saint-Paul,CA,47.44,-70.5,276.15,79,42,3.1,1605397157
Salalah,OM,17.02,54.09,295.15,56,0,2.1,1605397347
Mariehamn,AX,60.1,19.93,282.15,93,90,5.7,1605397417
Saint-Joseph,RE,-21.37,55.62,295.15,73,90,3.6,1605397417
Narsaq,GL,60.92,-46.05,265.15,67,0,6.7,1605397417
Arlit,NE,18.74,7.39,295.28,25,10,3.74,1605397417
Riyadh,SA,24.69,46.72,289.15,48,0,1.64,1605397250
Impfondo,CG,1.64,18.07,294.49,96,100,0.76,1605397417
Cruzeiro do Sul,BR,-29.51,-51.99,296.88,75,53,1.51,1605397418
Weligama,LK,5.97,80.42,297.96,89,33,1.95,1605397418
Nouakchott,MR,18.09,-15.98,296.15,18,0,1.5,1605397418
Marzuq,YE,14.4,46.47,288.19,37,79,1.39,1605397418
Rāmtek,IN,21.4,79.33,292.15,82,30,2.04,1605397418
Maceió,BR,-9.67,-35.74,297.15,94,20,2.1,1605397182
Vila Velha,BR,-20.33,-40.29,298.15,94,0,4.1,1605397418
Port Hawkesbury,CA,45.62,-61.35,277.59,93,90,2.1,1605397419
Port Keats,AU,-14.25,129.55,304.46,63,25,5.11,1605397419
La Constancia,MX,24.22,-107.19,303.15,33,5,4.1,1605397419
Meulaboh,ID,4.14,96.13,297.68,88,94,1.91,1605397419
Freeport,US,40.66,-73.58,282.15,45,1,2.1,1605397348
Roald,NO,62.58,6.13,284.15,57,99,6.2,1605397419
Goulburn,AU,-34.75,149.72,295.93,54,0,3.41,1605397148
Celestún,MX,20.87,-90.4,299.23,87,32,5.56,1605397420
Visby,SE,57.64,18.3,282.59,93,100,3.6,1605397420
Kalnibolotskaya,RU,46.01,40.46,276.65,69,100,5.31,1605397420
Vestmannaeyjar,IS,63.44,-20.27,277.97,71,40,5.08,1605397420
Vegreville,CA,53.5,-112.05,265.15,85,99,2.1,1605397420
Yulara,AU,-25.24,130.99,307.15,24,56,9.8,1605397421
San Jose,US,37.34,-121.89,289.26,71,40,2.41,1605397291
Manokwari,ID,-0.87,134.08,302.1,71,77,1.06,1605397421
Brae,GB,60.4,-1.35,283.15,100,100,7.2,1605397421
Bathsheba,BB,13.22,-59.52,298.15,94,20,3.6,1605397421
Forsytheganj,BY,52.63,29.73,277.39,96,95,1.63,1605397421
Vostok,RU,46.49,135.88,271.53,91,26,2.1,1605397422
Tongliao,CN,43.61,122.27,281.08,59,59,2.7,1605397422
Mae Hong Son,TH,19.3,97.97,291.22,69,2,0.91,1605397422
Seredka,RU,58.16,28.19,273.15,97,37,1.0,1605397422
Utica,US,43.1,-75.23,275.15,64,1,1.21,1605397410
Ucluelet,CA,48.93,-125.55,278.71,93,90,5.1,1605397253
Jampur,PK,29.64,70.6,291.08,51,53,6.16,1605397422
Pacific Grove,US,36.62,-121.92,288.15,76,20,3.6,1605397325
Los Llanos de Aridane,ES,28.66,-17.92,297.15,73,0,4.1,1605397423
Pomabamba,PE,-8.83,-77.47,283.47,74,99,1.32,1605397423
Bayanday,RU,53.07,105.51,262.04,93,27,2.06,1605397423
Cockburn Town,TC,21.46,-71.14,300.42,75,43,8.37,1605397423
Rocha,UY,-34.48,-54.33,290.62,94,100,0.92,1605397423
Diego de Almagro,CL,-26.37,-70.05,285.78,48,0,1.2,1605397423
Aswān,EG,24.09,32.91,292.19,53,0,4.88,1605397424
Leeuwarden,NL,53.2,5.81,286.15,82,90,6.7,1605397424
Gambiran,ID,-6.8,111.5,300.85,72,93,2.04,1605397424
Nantucket,US,41.28,-70.1,282.15,60,90,5.1,1605397424
Dātāganj,IN,28.03,79.4,290.95,35,69,2.54,1605397424
Porto Empedocle,IT,37.29,13.53,287.59,96,0,1.34,1605397424
Karaton,ID,-6.34,106.1,302.04,74,40,1.5,1605397424
Nelson Bay,AU,-32.72,152.15,299.82,73,0,2.1,1605397425
San Jerónimo,PE,-11.95,-75.28,285.76,62,80,1.47,1605397425
Leirvik,NO,59.78,5.5,284.26,83,100,2.68,1605397425
Zunyi,CN,27.69,106.91,282.92,80,0,0.86,1605397345
Berdigestyakh,RU,62.1,126.7,258.32,93,100,3.34,1605397425
Yeppoon,AU,-23.13,150.73,301.15,65,90,3.6,1605397425
Sur,OM,22.57,59.53,298.02,69,4,5.06,1605397425
Zhuhai,CN,22.28,113.57,295.15,83,40,6.2,1605397426
San Joaquin,US,37.93,-121.3,289.15,63,1,3.1,1605397426
Jaguarari,BR,-10.26,-40.2,297.65,53,41,2.23,1605397426
Taltal,CL,-25.4,-70.48,287.58,75,20,1.85,1605397426
Kahului,US,20.89,-156.47,302.15,54,40,9.8,1605397295
Sakaiminato,JP,35.55,133.23,281.15,100,40,1.5,1605397426
Tuy Hoa,VN,13.08,109.3,298.0,88,96,1.31,1605397426
Fairbanks,US,64.84,-147.72,264.15,85,75,0.97,1605397232
Guangzhou,CN,23.12,113.25,294.26,88,75,1.0,1605397229
Zhigansk,RU,66.77,123.37,254.87,92,91,2.73,1605397427
Blagodatnoye,RU,45.4,42.59,272.15,74,0,5.0,1605397427
Caucayá,CO,-0.19,-74.78,298.11,86,80,1.16,1605397427
Parit Buntar,MY,5.13,100.49,299.15,94,40,1.5,1605397427
Husavik,IS,66.04,-17.34,273.15,97,90,2.6,1605397428
Callaway,US,30.15,-85.57,295.37,78,1,2.6,1605397428
Ayagoz,KZ,47.97,80.44,268.71,91,99,2.17,1605397428
Coahuayana Viejo,MX,18.73,-103.68,299.15,78,40,5.1,1605397428
Balikpapan,ID,-1.27,116.83,299.15,100,20,1.0,1605397428
Innisfail,AU,-17.53,146.03,302.04,54,8,0.89,1605397135
Henties Bay,NA,-22.12,14.28,288.15,88,1,2.02,1605397428
Diamantina,BR,-18.25,-43.6,291.02,94,100,1.58,1605397429
Pakxan,LA,18.38,103.66,292.39,59,48,2.54,1605397429
Rayong,TH,12.83,101.43,298.15,96,70,2.15,1605397429
Conde,BR,-7.26,-34.91,298.15,83,20,3.1,1605397362
Youghal,IE,51.95,-7.85,284.26,93,75,6.2,1605397429
Pangoa,PE,-12.12,-73.0,295.22,90,100,0.95,1605397429
Laas,IT,46.62,10.7,275.37,55,5,0.57,1605397429
Katobu,ID,-4.94,122.53,302.08,72,93,1.82,1605397430
Bantogon,PH,6.53,124.03,300.52,71,95,1.01,1605397430
Pechenga,RU,69.53,31.17,275.15,89,66,10.3,1605397430
Charlestown,AU,-32.95,151.67,302.04,69,0,2.36,1605397430
Amapá,BR,1.0,-52.0,296.3,95,100,1.66,1605397430
Aksarka,RU,66.56,67.8,257.24,91,100,5.63,1605397430
Tucupita,VE,9.06,-62.05,298.4,90,92,1.82,1605397430
Lázaro Cárdenas,MX,17.96,-102.2,299.63,77,0,2.04,1605397431
Mae Ramat,TH,16.98,98.52,292.15,100,20,1.0,1605397431
Tshikapa,CD,-6.42,20.8,292.41,95,39,0.29,1605397431
Moerai,PF,-22.43,-151.33,298.16,79,63,3.49,1605397431
Tianpeng,CN,30.99,103.94,291.48,1,93,1.46,1605397431
Hackettstown,US,40.85,-74.83,278.15,64,20,1.95,1605397431
Bāli Chak,IN,22.37,87.55,294.26,60,0,2.93,1605397431
Ust-Maya,RU,60.42,134.53,261.7,95,100,2.84,1605397432
Juneau,US,58.3,-134.42,276.15,86,75,5.1,1605397432
Laguna,US,38.42,-121.42,289.82,51,1,0.9,1605397432
Kruisfontein,ZA,-34.0,24.73,289.82,80,63,0.89,1605397432
Booué,GA,-0.09,11.94,295.45,93,99,0.53,1605397432
Geraldton,AU,-28.77,114.6,291.15,55,90,4.6,1605397432
Nizhniy Ingash,RU,56.2,96.53,265.24,94,12,0.24,1605397433
Pimentel,PE,-6.84,-79.93,293.15,64,0,8.7,1605397433
Saint Joseph,US,39.77,-94.85,290.37,72,20,5.1,1605397433
Ancud,CL,-41.87,-73.82,284.15,62,90,4.1,1605397138
Athens,GR,37.98,23.72,286.48,66,20,2.41,1605397195
Tottori-shi,JP,35.5,134.23,281.15,75,40,2.6,1605397217
Taldan,RU,53.67,124.8,262.67,88,1,3.25,1605397433
Palauig,PH,15.44,119.9,301.52,68,84,1.17,1605397434
Puri,IN,19.8,85.85,296.64,74,0,5.05,1605397434
Labuhan,ID,-6.88,112.21,301.08,78,94,1.89,1605397434
Marsh Harbour,BS,26.54,-77.06,299.51,79,5,4.09,1605397434
Yerbogachën,RU,61.28,108.01,256.86,93,85,3.13,1605397434
Razdol'noye,RU,43.55,131.92,276.15,74,40,2.71,1605397434
Brookings,US,44.31,-96.8,274.26,86,1,2.1,1605397222
Necochea,AR,-38.55,-58.74,287.04,86,96,6.04,1605397435
Port Hedland,AU,-20.32,118.57,303.15,35,0,6.2,1605397435
Bereket,TM,39.24,55.52,279.27,59,5,3.3,1605397435
Traverse City,US,44.76,-85.62,279.15,41,40,3.6,1605397351
Stillwater,US,36.12,-97.06,299.15,31,1,8.2,1605397386
Kaduqli,SD,11.02,29.72,296.59,20,0,5.02,1605397435
Noumea,NC,-22.28,166.46,303.15,62,20,4.6,1605397271
Kieta,PG,-6.22,155.63,303.91,60,9,2.58,1605397436
Brownwood,US,31.71,-98.99,299.15,50,1,7.2,1605397299
Manakara,MG,-22.13,48.02,293.35,85,100,2.69,1605397436
Vorobyevka,RU,50.65,40.92,271.51,96,100,2.52,1605397436
Sémbé,CG,1.65,14.58,296.32,80,82,0.6,1605397436
Itarema,BR,-2.92,-39.92,300.64,77,46,7.51,1605397437
Ruska Poliana,UA,49.42,31.92,275.35,82,50,1.46,1605397437
Mount Gambier,AU,-37.83,140.77,298.15,36,32,8.7,1605397437
Novy Urengoy,RU,66.08,76.63,253.94,90,100,4.77,1605397368
Darnah,LY,32.77,22.64,292.11,71,18,6.19,1605397437
Sunbury,AU,-37.58,144.73,295.15,37,0,12.9,1605397437
Olinda,BR,-8.01,-34.86,300.15,78,40,4.1,1605397339
Rosetta,EG,31.4,30.42,293.15,68,40,3.6,1605397438
Merauke,ID,-8.47,140.33,301.15,62,0,4.92,1605397438
Biltine,TD,14.53,20.92,295.06,24,0,6.56,1605397438
Río Gallegos,AR,-51.62,-69.22,285.15,40,0,8.2,1605397438
Santa Maria,BR,-29.68,-53.81,303.15,42,0,1.5,1605397182
Nouadhibou,MR,20.93,-17.03,298.15,33,0,5.7,1605397287
Negara,ID,-8.32,114.6,300.49,75,57,1.62,1605397438
Mokhotlong,LS,-29.29,29.07,284.4,66,6,0.46,1605397439
Bosaso,SO,11.28,49.18,296.08,77,14,0.9,1605397439
Paamiut,GL,61.99,-49.67,267.7,81,0,12.41,1605397439
Vila Franca do Campo,PT,37.72,-25.43,292.15,93,75,2.1,1605397439
Barabai,ID,-2.58,115.38,300.31,78,94,0.83,1605397439
City of San Pedro,PH,14.35,121.02,302.59,78,40,5.33,1605397439
Jijiga,ET,9.35,42.8,287.51,41,72,4.3,1605397440
Fayaoué,NC,-20.65,166.53,298.17,77,2,2.9,1605397440
Yatou,CN,37.15,122.38,284.47,58,0,1.19,1605397440
Singapore,SG,1.29,103.85,301.15,88,75,2.1,1605396704
Peleduy,RU,59.63,112.74,260.45,93,100,2.72,1605397440
Çorum Province,TR,40.5,34.75,276.76,75,70,1.25,1605397440
Copiapó,CL,-27.37,-70.33,288.15,72,40,4.6,1605397228
